Location,Medicaid
Alabama,0.201
Alaska,0.193
Arizona,0.235
Arkansas,0.267
California,0.272
Colorado,0.194
Connecticut,0.202
Delaware,0.194
District of Columbia,0.285
Florida,0.19
Georgia,0.179
Hawaii,0.176
Idaho,0.168
Illinois,0.203
Indiana,0.179
Iowa,0.196
Kansas,0.139
Kentucky,0.267
Louisiana,0.253
Maine,0.194
Maryland,0.178
Massachusetts,0.239
Michigan,0.226
Minnesota,0.179
Mississippi,0.248
Missouri,0.146
Montana,0.205
Nebraska,0.128
Nevada,0.193
New Hampshire,0.135
New Jersey,0.174
New Mexico,0.325
New York,0.264
North Carolina,0.187
North Dakota,0.111
Ohio,0.213
Oklahoma,0.182
Oregon,0.233
Pennsylvania,0.199
Rhode Island,0.22
South Carolina,0.201
South Dakota,0.142
Tennessee,0.213
Texas,0.175
Utah,0.117
Vermont,0.267
Virginia,0.115
Washington,0.213
West Virginia,0.287
Wisconsin,0.175
Wyoming,0.126
Puerto Rico,0.482
