Location,Medicaid
Alabama,0.206
Alaska,0.22
Arizona,0.223
Arkansas,0.27
California,0.264
Colorado,0.197
Connecticut,0.203
Delaware,0.179
District of Columbia,0.281
Florida,0.186
Georgia,0.174
Hawaii,0.175
Idaho,0.175
Illinois,0.2
Indiana,0.181
Iowa,0.18
Kansas,0.135
Kentucky,0.271
Louisiana,0.283
Maine,0.181
Maryland,0.178
Massachusetts,0.236
Michigan,0.224
Minnesota,0.173
Mississippi,0.244
Missouri,0.149
Montana,0.193
Nebraska,0.125
Nevada,0.189
New Hampshire,0.138
New Jersey,0.171
New Mexico,0.336
New York,0.263
North Carolina,0.184
North Dakota,0.107
Ohio,0.211
Oklahoma,0.18
Oregon,0.229
Pennsylvania,0.197
Rhode Island,0.236
South Carolina,0.19
South Dakota,0.137
Tennessee,0.205
Texas,0.17
Utah,0.112
Vermont,0.281
Virginia,0.119
Washington,0.208
West Virginia,0.28
Wisconsin,0.168
Wyoming,0.126
Puerto Rico,0.469
