YEAR,STATE,RATE,DEATHS
2017,AL,170,"10,410"
2017,AK,139.2,926
2017,AZ,135.8,"12,008"
2017,AR,173.6,"6,517"
2017,CA,136.7,"59,516"
2017,CO,130.9,"7,829"
2017,CT,139.5,"6,608"
2017,DE,160.4,"2,085"
2017,FL,145.9,"45,131"
2017,GA,154.9,"17,135"
2017,HI,128.6,"2,456"
2017,ID,153.2,"3,020"
2017,IL,157.9,"24,150"
2017,IN,170,"13,462"
2017,IA,158,"6,449"
2017,KS,157.2,"5,494"
2017,KY,185.7,"10,145"
2017,LA,174.9,"9,513"
2017,ME,170.8,"3,391"
2017,MD,151.5,"10,796"
2017,MA,149.3,"12,934"
2017,MI,161.3,"20,671"
2017,MN,146.8,"9,896"
2017,MS,183.1,"6,526"
2017,MO,167.2,"12,971"
2017,MT,152.6,"2,145"
2017,NE,152.6,"3,502"
2017,NV,155.3,"5,283"
2017,NH,153.5,"2,760"
2017,NJ,144.6,"16,264"
2017,NM,138.3,"3,620"
2017,NY,141.2,"34,956"
2017,NC,157.1,"19,474"
2017,ND,142.6,"1,280"
2017,OH,171.2,"25,643"
2017,OK,177.3,"8,203"
2017,OR,154.2,"8,083"
2017,PA,161,"28,387"
2017,RI,154.2,"2,154"
2017,SC,162.7,"10,356"
2017,SD,156.9,"1,715"
2017,TN,173.4,"14,302"
2017,TX,146.5,"40,668"
2017,UT,120.3,"3,161"
2017,VT,164.5,"1,434"
2017,VA,152.6,"15,064"
2017,WA,148.4,"12,664"
2017,WV,179.4,"4,654"
2017,WI,153.2,"11,318"
2017,WY,136.1,948
