YEAR,STATE,RATE,DEATHS
2018,AL,170.4,10632
2018,AK,141.5,957
2018,AZ,131.9,12113
2018,AR,168.8,6491
2018,CA,135,59962
2018,CO,127.6,7812
2018,CT,134.1,6472
2018,DE,159.4,2101
2018,FL,141.7,45281
2018,GA,152.4,17397
2018,HI,123.5,2405
2018,ID,149.5,3049
2018,IL,153.5,23885
2018,IN,165.7,13479
2018,IA,155.3,6427
2018,KS,156.4,5607
2018,KY,181.6,10135
2018,LA,169,9382
2018,ME,162.1,3275
2018,MD,149.9,10927
2018,MA,142.8,12635
2018,MI,161.1,21018
2018,MN,143.1,9910
2018,MS,179.7,6510
2018,MO,165.3,13040
2018,MT,140.7,2038
2018,NE,150.5,3516
2018,NV,146.5,5195
2018,NH,143.7,2711
2018,NJ,141.3,16011
2018,NM,136.4,3672
2018,NY,138.2,34491
2018,NC,154.2,19671
2018,ND,145.2,1320
2018,OH,165.2,25164
2018,OK,178.1,8424
2018,OR,150.6,8159
2018,PA,156.6,28023
2018,RI,151.6,2176
2018,SC,157.3,10365
2018,SD,145.2,1632
2018,TN,168,14141
2018,TX,142.9,40866
2018,UT,120,3264
2018,VT,156,1388
2018,VA,149.3,15148
2018,WA,145.3,12791
2018,WV,179.5,4682
2018,WI,151.5,11457
2018,WY,140.6,997
